model,category,deler,lagerplass,antall,lagerkode,utpris_m_mva,evt_bestilltid,leverandor,delenummer_oem,leverandor_pa_lager,oem_alt,link,webshop_done,compatibility_status,manual_compatibility_override,created_at,updated_at
Understell B2/B3,Motordeler,Mellomakselbrak,A4-4B,1,"TP59,5","1123,-",,Tedgum,857521101D + 857521101DX,Tedgum 00055264,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Belysning/elektris,Belysning/elektris,,0,,,,,,AS 90 amp,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Belysning/elektris,spredere S2/cab,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Belysning/elektris,90B3   høyre,A4-1D,1,Depo 42,970.-,,Depo,8A0 941 700 + 859 941 700,Depo 441-2027R-UE,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Belysning/elektris,spredere S2/cab,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Belysning/elektris,90B3 venstre,A4-1C,1,Depo 42,970.-,,Depo,8A0 941 699 + 859 941 699,Depo 441-2027L-UE,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Belysning/elektris,sett blinklys h+v,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Belysning/elektris,S2/RS2/porsche,A4-1A,1,Polcar95,1930.-,,Polcar,RS2 turnlight/babrio turnlight,Polcar 5812191E,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Belysning/elektris,Eldel tennlås,A4-1H,2,"PC 13,5",321.-,,Meyle,111905865L + 171905865,Polcar Meyle,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Bremsedeler,Bremsedeler,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
